Complexity	Model	Value	Type
1_modality	Clinical	0.857142857142857	AUROC
1_modality	Clinical	0.531090871529945	AUPRC
1_modality	Clinical	0.487409443978533	Weighted LogLoss
2_modality	ClinicalMethylomics	0.873626373626374	AUROC
2_modality	ClinicalMethylomics	0.564052989616899	AUPRC
2_modality	ClinicalMethylomics	0.604310238613839	Weighted LogLoss
3_modality	ClinicalMethylomicsTranscriptomics	0.851648351648352	AUROC
3_modality	ClinicalMethylomicsTranscriptomics	0.564052989616899	AUPRC
3_modality	ClinicalMethylomicsTranscriptomics	0.640066649900596	Weighted LogLoss
4_modality	ClinicalMethylomicsTranscriptomicsProteomics	0.851648351648352	AUROC
4_modality	ClinicalMethylomicsTranscriptomicsProteomics	0.564052989616899	AUPRC
4_modality	ClinicalMethylomicsTranscriptomicsProteomics	0.640257132375811	Weighted LogLoss
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetb	0.851648351648352	AUROC
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetb	0.564052989616899	AUPRC
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetb	0.626266381943496	Weighted LogLoss
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.851648351648352	AUROC
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.564052989616899	AUPRC
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.662625813905042	Weighted LogLoss
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.851648351648352	AUROC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.564052989616899	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.6561665076475	Weighted LogLoss
1_modality	Clinical	0.804232804232804	AUROC
1_modality	Clinical	0.479619173097434	AUPRC
